,5
246,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
247,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7"
248,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
249,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)
251,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
252,"@khalid0456 No, Lebron is the best"
253,@the_real_usher LeBron is cool.  I like his personality...he has good character.
254,Watching Lebron highlights. Damn that niggas good
255,@Lou911 Lebron is MURDERING shit.
256,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
257,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
258,KOBE IS GOOD BT LEBRON HAS MY VOTE
260,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
261,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
264,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
265,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
266,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
268,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!"
269,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
270,http://is.gd/ArUJ Good video from Google on using search options.
273,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
274,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
275,Lyx is cool.
276,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
277,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV"
278,@dannygokey I love you DANNY GOKEY!! :)
285,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
287,Went to see the Star Trek movie last night.  Very satisfying.
288,"I can't wait, going to see star trek tonight!!"
289,Star Trek was as good as everyone said!!
290,am loving new malcolm gladwell book - outliers
291,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
294,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
295,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
306,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
308,Off to the NIKE factory!!!
309,New nike muppet commercials are pretty cute. Why do we live together again?
313,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
315,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
316,@jonduenas @robynlyn just got us a 50D for the office. :D
317,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
318,Just got my new toy. Canon 50D. Love love love it!
319,Learning about lambda calculus :)
321,I'm moving to East Palo Alto!
322,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
323,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
326,LAKERS tonight let's go!!!!
327,Will the Lakers kick the Nuggets ass tonight?
335,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
337,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
338,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
339,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
340,Could go for a lot of McDonalds. i mean A LOT.
341,my exam went good. @HelloLeonie: your prayers worked (:
342,"Only one exam left, and i am so happy for it :D"
346,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
347,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
349,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
350,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
352,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
353,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
354,@vkerkez dood I got a free google android phone at the I/O conference. The G2!
355,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
356,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio"
357,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
358,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
359,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"
362,Night At The Museum 2? Pretty furkin good.
363,Watching Night at the Museum - giggling.
368,just watched night at the museum 2! so stinkin cute!
369,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up."
372,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D
404,yankees won mets lost. its a good day.
405,My dentist appt today was actually quite enjoyable.
419,Just applied at Safeway!(: Yeeeee!
435,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes
437,@evelynbyrne have you tried Nike  ? V. addictive.
439,The Nike Training Club (beta) iPhone app looks very interesting.
443,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js"
449,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga"
451,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio"
452,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it."
454,I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis
456,I love my Kindle2. No more stacks of books to trip over on the way to the loo.
463,GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave
467,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
469,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.
470,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?"
471,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha."
476,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!
477,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.
478,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.
479,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today."
487,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.
489,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!
491,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!
492,"After using LaTeX a lot, any other typeset mathematics just looks hideous."
495,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.
